,source,target
166,@MughalNazi158,@HMQueen
167,@MughalNazi158,@PakPMO
168,@Mr_COP_officer,@_RowanAtkinson
169,@AnonSamurai00,@kaitonomia
170,@AnonSamurai00,@Zincpyr1thione
171,@yolkurdu06,@RTErdogan
172,@ilvocio,@Cassandracaru
173,@Mirayislam2,@RTErdogan
174,@lindependant,@lindependant
175,@Cdanslair,@France5tv
176,@HubertDeMeulder,@NOS
177,@GarconsOfficiel,@bernstephane
178,@EKH_Fr,@KingSalman
179,@bedane_mesfin,@Buckingham
180,@deje_dejen,@sanusi90064
181,@ari_stotel,@anabrnabic
182,@fuzuli41,@RTErdogan
183,@hasanselcik20,@ismailabimm
184,@hasanselcik20,@komikrtweetler
185,@Civil_Supremo,@javerias
186,@MaurilioVitto,@Marco_dreams
187,@MaurilioVitto,@erny110393
188,@BRAVENEWEUROPE1,@SonaliKolhatkar
189,@KSAmofaFRA,@KingSalman
190,@NEWSEXPRESS,@newsexpress
191,@Levercors,@Cdanslair
192,@vatannivat1,@vatannivat1
193,@muhsin_ozturk42,@misvakdergi
194,@MSMscarecrow,@BBCWorld
195,@MSMscarecrow,@rashtrapatibhvn
196,@nathan19832012,@elizabeth10kapl
197,@ReneNow,@UniteWomenOrgNY
198,@ShirwacYabe,@jibrilmo903
199,@ShirwacYabe,@Wadani_Hubeysan
200,@ShirwacYabe,@TerraAbdirizak
201,@ShirwacYabe,@ahmednasirlaw
202,@ShirwacYabe,@safiirk
203,@ShirwacYabe,@MunaLayla1
204,@ShirwacYabe,@TheVillaSomalia
205,@ShirwacYabe,@HassanSMohamud
206,@ShirwacYabe,@SomPundit
207,@ShirwacYabe,@Mahraj01
208,@ShirwacYabe,@SSCVoices
209,@ShirwacYabe,@awdal_waaye
210,@ShirwacYabe,@kingofSomaliaa
211,@ShirwacYabe,@EGaraad_
212,@JonBoles3,@RepDerekKilmer
213,@JRICAT,@RoyalFamily
214,@Suspender_Sue,@FAPremierLeague
215,@Suspender_Sue,@SkyFootball
216,@Suspender_Sue,@EFL
217,@Suspender_Sue,@SunderlandAFC
218,@Suspender_Sue,@SkySportsPL
219,@Suspender_Sue,@Football
220,@Suspender_Sue,@ManUtd
221,@Suspender_Sue,@NUFC
222,@EKDIN_News,@EKDIN_News
223,@MelanieFineRea1,@NatGeo
224,@Churchill45,@JoeBiden
